ISO3c,exp_to_CHN_kg,exp_to_CHN_value,exp.kg,exp.value,per_exp_kg,per_exp_val,imp_from_CHN_kg,imp_from_CHN_value,imp.kg,imp.value,per_imp_kg,per_imp_val
FIN,19231,28341,94222619,196682805,0.020410173,0.014409496,658117,3593252,135209564,678544594,0.486738497,0.529552815
FJI,23470970,47014776,57695466,178529752,40.68078764,26.33442072,38909955,78766067,53735479,105520633,72.41017615,74.64518053
FRA,8143699,77265288,572522038,2472654676,1.422425419,3.124790888,74559301,293626434,1447647869,8359529624,5.150375488,3.512475548
FRO,23051869,99801885,488405344,1472061773,4.719823254,6.779734847,157000,424100,26445972,36193417,0.593663186,1.171760047
FSM,5741975,11724211,13149889,28756476,43.66557771,40.77068066,1419854,1069497,1562900,1480918,90.84739907,72.21851581
GAB,24539,1361817,196431,2395480,12.49242737,56.84944145,5822200,12152067,17849123,32076550,32.61896957,37.88458235
GBR,31859646,212062676,782951816,3369642149,4.069170714,6.29332928,76708636,346949205,964403398,4898011340,7.953998934,7.08347084
GHA,14412951,12370487,67796503,122032606,21.25913633,10.1370342,38828715,50169495,502790643,438760035,7.722640733,11.43438121
GIN,83408,2304946,26392326,48082868,0.316031258,4.793694919,200690,1040222,6116311,5377634,3.281226216,19.34348823
GMB,685356,191745,11128522,15435123,6.15855367,1.242264153,1650,539,152566,458831,1.081499154,0.117472446
GRC,424881,4378184,166602132,946100897,0.255027349,0.462760792,10369666,34615768,273242462,842242470,3.795041929,4.109952803
GRL,33095680,133428906,203429395,797521685,16.26887796,16.73044238,NA,NA,NA,NA,NA,NA
GTM,87815,624836,32458173,135111599,0.270548191,0.462459185,1547362,4066272,41585253,124220762,3.720939247,3.27342381
GUM,0,5180,132455,787795,0,0.657531464,197271,1592824,3091205,16475168,6.381686106,9.668028878
GUY,5590529,31462693,46674115,220565006,11.97779326,14.26458964,364137,605359,1188090,2904687,30.64894074,20.84076529
HND,430767,5263159,84826587,525144396,0.507820738,1.002230823,1204276,3350279,15834700,32415082,7.605297227,10.33555615
HRV,5400,34857,164613204,335645505,0.003280417,0.010385064,814415,6702969,150301529,267228756,0.541854102,2.508326237
HTI,41294,1111457,296388,10956377,13.93241292,10.14438441,3071840,4850548,16357316,32918482,18.77960908,14.7350294
HUN,110,3838,13434245,36690300,0.000818803,0.01046053,1285658,3430038,34536352,128326838,3.72262247,2.672892166
IDN,154418801,511145781,850672973,4058726846,18.1525458,12.59374677,106505124,199657035,368344501,652501858,28.91454161,30.59869218
IND,48201717,250674131,1591661527,7958551454,3.028389905,3.149745685,855382,20325213,52842322,190509178,1.618744157,10.66888914
IRL,14067330,54508899,393225575,1013189484,3.577419907,5.379931381,518441,3373494,170958437,461913318,0.30325558,0.730330534
IRN,35555483,133663692,229221601,475144045,15.51140156,28.13119377,22909757,63186633,72263387,180226568,31.70313204,35.05955515
ISL,41371455,108931103,856612193,2736294882,4.829659832,3.9809709,499389,1652538,153156224,149775490,0.326065103,1.103343411
ISR,2708,49958,1599417,33479591,0.169311693,0.149219266,24697103,80832959,112384350,654727509,21.97557133,12.34604593
