Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1978,1978,kg,16.17,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1979,1979,kg,15.92,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1980,1980,kg,15.54,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1981,1981,kg,17.22,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1982,1982,kg,16.47,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1983,1983,kg,17.45,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1984,1984,kg,19.16,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1985,1985,kg,19.04,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1986,1986,kg,18.86,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1987,1987,kg,21.1,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1988,1988,kg,20.06,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1989,1989,kg,22.43,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1990,1990,kg,21.9,Fc,Calculated data
